# Manual-derived reference: Curve 3 (factory condition)
# Mapping: thresh2v0 -> curve3
input_dbm,output_dbm,input_dbfs,output_dbfs,gain_reduction_db,note
-5.0,2.0,-24.2,-26.2,2.0,manual_curve3
0.0,5.0,-19.2,-23.2,4.0,manual_curve3
5.0,7.0,-14.2,-21.2,7.0,manual_curve3
10.0,7.5,-9.2,-20.7,11.5,manual_curve3
15.0,7.0,-4.2,-21.2,17.0,manual_curve3
20.0,6.0,0.8,-22.2,23.0,manual_curve3
25.0,5.5,5.8,-22.7,28.5,manual_curve3
30.0,5.0,10.8,-23.2,34.0,manual_curve3
