# Manual-derived reference: Curve 1 (straight amplifier)
# Mapping: thresh10v0 -> curve1
# Conversion used for plugin-comparison columns:
#   input_dbfs  = input_dbm - 19.2
#   output_dbfs = output_dbm - 19.2 - 9.0
#   gain_reduction_db = input_dbfs - output_dbfs
input_dbm,output_dbm,input_dbfs,output_dbfs,gain_reduction_db,note
-10.0,-1.0,-29.2,-29.2,0.0,manual_curve1
-5.0,4.0,-24.2,-24.2,0.0,manual_curve1
0.0,9.0,-19.2,-19.2,0.0,manual_curve1
5.0,14.0,-14.2,-14.2,0.0,manual_curve1
10.0,19.0,-9.2,-9.2,0.0,manual_curve1
