# Manual-derived reference: Curve 2 (light compression)
# Mapping: thresh3v5 -> curve2
input_dbm,output_dbm,input_dbfs,output_dbfs,gain_reduction_db,note
-5.0,4.0,-24.2,-24.2,0.0,manual_curve2
0.0,9.0,-19.2,-19.2,0.0,manual_curve2
5.0,12.0,-14.2,-16.2,2.0,manual_curve2
10.0,13.0,-9.2,-15.2,6.0,manual_curve2
15.0,13.0,-4.2,-15.2,11.0,manual_curve2
20.0,13.0,0.8,-15.2,16.0,manual_curve2
25.0,12.5,5.8,-15.7,21.5,manual_curve2
30.0,12.0,10.8,-16.2,27.0,manual_curve2
