# Manual-derived reference: Curve 4 (maximum compression)
# Mapping: thresh0v0 -> curve4
input_dbm,output_dbm,input_dbfs,output_dbfs,gain_reduction_db,note
0.0,2.0,-19.2,-26.2,7.0,manual_curve4
5.0,1.0,-14.2,-27.2,13.0,manual_curve4
10.0,0.0,-9.2,-28.2,19.0,manual_curve4
15.0,0.0,-4.2,-28.2,24.0,manual_curve4
20.0,0.0,0.8,-28.2,29.0,manual_curve4
25.0,-0.5,5.8,-28.7,34.5,manual_curve4
30.0,-1.0,10.8,-29.2,40.0,manual_curve4
